,Country/Region,Lat,Long,date,date_confirmed_cases
96,Malaysia,4.210483999999999,101.97576600000001,1/22/20,0.0
97,Maldives,3.2028,73.2207,1/22/20,0.0
98,Mali,17.570692,-3.996166000000001,1/22/20,0.0
99,Malta,35.9375,14.3754,1/22/20,0.0
100,Mauritania,21.0079,-10.9408,1/22/20,0.0
101,Mauritius,-20.348404000000002,57.552152,1/22/20,0.0
102,Mexico,23.6345,-102.5528,1/22/20,0.0
103,Moldova,47.4116,28.3699,1/22/20,0.0
104,Monaco,43.7333,7.4167,1/22/20,0.0
105,Mongolia,46.8625,103.8467,1/22/20,0.0
106,Montenegro,42.708678000000006,19.37439,1/22/20,0.0
107,Morocco,31.7917,-7.0926,1/22/20,0.0
108,Mozambique,-18.665695,35.529562,1/22/20,0.0
109,Namibia,-22.9576,18.4904,1/22/20,0.0
110,Nepal,28.1667,84.25,1/22/20,0.0
111,Netherlands,21.408839999999998,-52.99206,1/22/20,0.0
112,New Zealand,-40.9006,174.886,1/22/20,0.0
113,Nicaragua,12.865416,-85.207229,1/22/20,0.0
114,Niger,17.607789,8.081666,1/22/20,0.0
115,Nigeria,9.082,8.6753,1/22/20,0.0
116,North Macedonia,41.6086,21.7453,1/22/20,0.0
117,Norway,60.472,8.4689,1/22/20,0.0
118,Oman,21.512583,55.92325500000001,1/22/20,0.0
119,Pakistan,30.3753,69.3451,1/22/20,0.0
120,Panama,8.538,-80.7821,1/22/20,0.0
121,Paraguay,-23.4425,-58.4438,1/22/20,0.0
122,Peru,-9.19,-75.0152,1/22/20,0.0
123,Philippines,12.879721,121.77401699999999,1/22/20,0.0
124,Poland,51.9194,19.1451,1/22/20,0.0
125,Portugal,39.3999,-8.2245,1/22/20,0.0
126,Qatar,25.3548,51.1839,1/22/20,0.0
127,Romania,45.9432,24.9668,1/22/20,0.0
128,Russia,61.52401,105.31875600000001,1/22/20,0.0
129,Rwanda,-1.9403,29.8739,1/22/20,0.0
130,San Marino,43.9424,12.4578,1/22/20,0.0
131,Sao Tome and Principe,0.1864,6.6131,1/22/20,0.0
132,Saudi Arabia,23.885942,45.079162,1/22/20,0.0
133,Senegal,14.4974,-14.4524,1/22/20,0.0
134,Serbia,44.0165,21.0059,1/22/20,0.0
135,Seychelles,-4.6796,55.492,1/22/20,0.0
136,Sierra Leone,8.460555000000001,-11.779889,1/22/20,0.0
137,Singapore,1.2833,103.8333,1/22/20,0.0
138,Slovakia,48.669,19.699,1/22/20,0.0
139,Slovenia,46.1512,14.9955,1/22/20,0.0
140,Somalia,5.152149,46.199616,1/22/20,0.0
141,South Africa,-30.5595,22.9375,1/22/20,0.0
142,South Sudan,6.8770000000000024,31.307,1/22/20,0.0
143,Spain,40.463667,-3.7492199999999998,1/22/20,0.0
144,Sri Lanka,7.873054,80.77179699999998,1/22/20,0.0
145,Sudan,12.8628,30.2176,1/22/20,0.0
146,Suriname,3.9193,-56.0278,1/22/20,0.0
147,Sweden,60.128161,18.643501,1/22/20,0.0
148,Switzerland,46.8182,8.2275,1/22/20,0.0
149,Syria,34.802075,38.99681500000001,1/22/20,0.0
150,Taiwan*,23.7,121.0,1/22/20,1.0
151,Tajikistan,38.861,71.2761,1/22/20,0.0
152,Tanzania,-6.369028,34.888822,1/22/20,0.0
153,Thailand,15.870032,100.992541,1/22/20,2.0
154,Togo,8.6195,0.8248,1/22/20,0.0
155,Trinidad and Tobago,10.6918,-61.2225,1/22/20,0.0
156,Tunisia,33.886917,9.537499,1/22/20,0.0
157,Turkey,38.9637,35.2433,1/22/20,0.0
158,US,40.0,-100.0,1/22/20,1.0
159,Uganda,1.373333,32.290275,1/22/20,0.0
160,Ukraine,48.3794,31.1656,1/22/20,0.0
161,United Arab Emirates,23.424076,53.847818000000004,1/22/20,0.0
162,United Kingdom,24.548172545454545,-43.90224236363636,1/22/20,0.0
163,Uruguay,-32.5228,-55.7658,1/22/20,0.0
164,Uzbekistan,41.377491,64.585262,1/22/20,0.0
165,Venezuela,6.4238,-66.5897,1/22/20,0.0
166,Vietnam,14.058323999999999,108.277199,1/22/20,0.0
167,West Bank and Gaza,31.9522,35.2332,1/22/20,0.0
168,Yemen,15.552726999999999,48.516388,1/22/20,0.0
169,Zambia,-13.133897,27.849332,1/22/20,0.0
170,Zimbabwe,-19.015438,29.154857,1/22/20,0.0
171,Afghanistan,33.93911,67.709953,1/23/20,0.0
172,Albania,41.1533,20.1683,1/23/20,0.0
173,Algeria,28.0339,1.6596,1/23/20,0.0
174,Andorra,42.5063,1.5218,1/23/20,0.0
175,Angola,-11.2027,17.8739,1/23/20,0.0
176,Argentina,-38.4161,-63.6167,1/23/20,0.0
177,Armenia,40.0691,45.0382,1/23/20,0.0
178,Australia,-32.106275000000004,141.35548749999998,1/23/20,0.0
179,Austria,47.5162,14.5501,1/23/20,0.0
180,Azerbaijan,40.1431,47.5769,1/23/20,0.0
181,Bahamas,25.025885,-78.035889,1/23/20,0.0
182,Bahrain,26.0275,50.55,1/23/20,0.0
183,Bangladesh,23.685,90.3563,1/23/20,0.0
184,Barbados,13.1939,-59.5432,1/23/20,0.0
185,Belarus,53.7098,27.9534,1/23/20,0.0
186,Belgium,50.8333,4.469936,1/23/20,0.0
187,Benin,9.3077,2.3158,1/23/20,0.0
188,Bolivia,-16.2902,-63.5887,1/23/20,0.0
189,Bosnia and Herzegovina,43.9159,17.6791,1/23/20,0.0
190,Botswana,-22.3285,24.6849,1/23/20,0.0
191,Brazil,-14.235,-51.9253,1/23/20,0.0
192,Brunei,4.5353,114.7277,1/23/20,0.0
193,Bulgaria,42.7339,25.4858,1/23/20,0.0
194,Burkina Faso,12.2383,-1.5616,1/23/20,0.0
195,Burma,21.9162,95.956,1/23/20,0.0
196,Burundi,-3.3731,29.9189,1/23/20,0.0
197,Cabo Verde,16.5388,-23.0418,1/23/20,0.0
198,Cambodia,11.55,104.9167,1/23/20,0.0
199,Cameroon,3.8480000000000003,11.5021,1/23/20,0.0
200,Canada,45.61112857142857,-79.96359285714286,1/23/20,0.0
201,Central African Republic,6.6111,20.9394,1/23/20,0.0
202,Chad,15.4542,18.7322,1/23/20,0.0
203,Chile,-35.6751,-71.543,1/23/20,0.0
204,China,32.887645454545456,111.78599090909094,1/23/20,19.484848484848484
205,Colombia,4.5709,-74.2973,1/23/20,0.0
206,Comoros,-11.6455,43.3333,1/23/20,0.0
207,Congo (Brazzaville),-0.228,15.8277,1/23/20,0.0
208,Congo (Kinshasa),-4.0383,21.7587,1/23/20,0.0
209,Costa Rica,9.7489,-83.7534,1/23/20,0.0
210,Cote d'Ivoire,7.54,-5.5471,1/23/20,0.0
211,Croatia,45.1,15.2,1/23/20,0.0
212,Cuba,21.521757,-77.78116700000002,1/23/20,0.0
213,Cyprus,35.1264,33.4299,1/23/20,0.0
214,Czechia,49.8175,15.472999999999999,1/23/20,0.0
215,Denmark,63.287800000000004,-13.338100000000003,1/23/20,0.0
216,Diamond Princess,0.0,0.0,1/23/20,0.0
217,Djibouti,11.8251,42.5903,1/23/20,0.0
218,Dominican Republic,18.7357,-70.1627,1/23/20,0.0
219,Ecuador,-1.8312,-78.1834,1/23/20,0.0
220,Egypt,26.820553000000004,30.802497999999996,1/23/20,0.0
221,El Salvador,13.7942,-88.8965,1/23/20,0.0
222,Equatorial Guinea,1.6508,10.2679,1/23/20,0.0
223,Eritrea,15.1794,39.7823,1/23/20,0.0
224,Estonia,58.5953,25.0136,1/23/20,0.0
225,Eswatini,-26.5225,31.4659,1/23/20,0.0
226,Ethiopia,9.145,40.4897,1/23/20,0.0
227,Finland,61.92411,25.748151,1/23/20,0.0
228,France,8.308854090909092,5.458262363636362,1/23/20,0.0
229,Gabon,-0.8037,11.6094,1/23/20,0.0
230,Georgia,42.3154,43.3569,1/23/20,0.0
231,Germany,51.165690999999995,10.451526,1/23/20,0.0
232,Ghana,7.9465,-1.0232,1/23/20,0.0
233,Greece,39.0742,21.8243,1/23/20,0.0
234,Guatemala,15.7835,-90.2308,1/23/20,0.0
235,Guinea,9.9456,-9.6966,1/23/20,0.0
236,Guinea-Bissau,11.8037,-15.1804,1/23/20,0.0
237,Guyana,4.860416000000002,-58.93018000000001,1/23/20,0.0
238,Haiti,18.9712,-72.2852,1/23/20,0.0
239,Honduras,15.2,-86.2419,1/23/20,0.0
240,Hungary,47.1625,19.5033,1/23/20,0.0
